OSEBuildingID,BuildingType,NumberofBuildings,NumberofFloors,Latitude,Longitude,LargestPropertyUseType,PropertyGFATotal_avg,PropertyGFAParking_avg,PropertyGFABuilding(s)_avg,LargestPropertyUseTypeGFA_avg,SiteEnergyUse(kBtu)_avg,TotalGHGEmissions_avg,PropertyGFABuilding(s)_%,PropertyGFAParking_%,Dureedevie
27901,Campus,1.0,2.0,47.62291,-122.28879,Education,30562.0,0.0,30562.0,30562.0,1592650.6875,54.555,1.0,0.0,16
27903,NonResidential,1.0,3.0,47.59951,-122.32033,Commerce,54969.0,0.0,54969.0,54969.0,3525548.625,40.55,1.0,0.0,16
27922,NonResidential,1.0,2.0,47.61395,-122.31253,Education,36825.0,0.0,36825.0,44340.0,1789954.375,52.09,1.0,0.0,65
27928,NonResidential,1.0,3.0,47.61546,-122.31195,Office,25834.0,0.0,25834.0,31822.0,2162532.8125,57.620000000000005,1.0,0.0,58
27947,NonResidential,1.0,1.0,47.63193,-122.32126,Loisirs,37700.0,0.0,37700.0,52225.0,3333618.25,141.055,1.0,0.0,87
27955,SPS-District K-12,1.0,2.0,47.64063,-122.30428,Education,27273.0,0.0,27273.0,27273.0,1222650.5625,44.475,1.0,0.0,91
27969,NonResidential,1.0,6.0,47.61608,-122.30967,Hotel/Senior Care,97229.0,17486.5,79742.5,45300.0,992165.844,6.915,0.82,0.18,12
27982,NonResidential,1.0,3.0,47.69898,-122.34162,Office,25111.0,0.0,25111.0,14256.0,903903.34375,22.785,1.0,0.0,34
28019,NonResidential,1.0,2.0,47.64725,-122.39977,Loisirs,31805.0,0.0,31805.0,31805.0,1574417.5,65.515,1.0,0.0,63
28020,NonResidential,1.0,1.0,47.64725,-122.39977,Education,20811.0,0.0,20811.0,20811.0,1232989.25,41.775,1.0,0.0,63
28025,Nonresidential COS,1.0,2.0,47.59393,-122.32211,Non-Refrigerated Warehouse,22058.0,0.0,22058.0,12644.0,1870701.875,61.925000000000004,1.0,0.0,49
28029,NonResidential,1.0,1.0,47.56268,-122.32364,Refrigerated Warehouse,22890.0,0.0,22890.0,43452.0,9747574.0,114.92500000000001,1.0,0.0,46
28030,NonResidential,1.0,5.0,47.56166,-122.3237,Other,36000.0,0.0,36000.0,36000.0,1113666.875,42.44,1.0,0.0,109
28033,NonResidential,1.0,1.0,47.5616,-122.32603,Distribution Center,28320.0,0.0,28320.0,28320.0,3026973.25,58.05499999999999,1.0,0.0,45
28053,NonResidential,1.0,1.0,47.67816,-122.28998,Loisirs,29079.0,0.0,29079.0,29079.0,858656.84375,22.88,1.0,0.0,61
28066,NonResidential,1.0,3.0,47.63441,-122.28061,Office,28848.0,9616.0,19232.0,19232.0,732953.75,5.11,0.67,0.33,34
28081,NonResidential,1.0,2.0,47.65564,-122.36191,Office,20535.0,0.0,20535.0,13600.0,1906233.5,42.705,1.0,0.0,28
28086,NonResidential,1.0,2.0,47.65223,-122.36147,Laboratory,43025.0,0.0,43025.0,29527.0,9695309.5,264.325,1.0,0.0,31
28476,NonResidential,1.0,1.0,47.54769,-122.3251,Non-Refrigerated Warehouse,30800.0,0.0,30800.0,30800.0,534588.0,3.7300000000000004,1.0,0.0,51
29170,NonResidential,1.0,3.0,47.59901628,-122.3315077,Hotel/Senior Care,22168.0,0.0,22168.0,11084.0,1737008.125,48.135,1.0,0.0,116
29214,NonResidential,1.0,1.0,47.59416,-122.3267,Non-Refrigerated Warehouse,37400.0,0.0,37400.0,27271.0,900575.34375,7.745,1.0,0.0,94
29550,NonResidential,1.0,11.0,47.59666,-122.32768,Office,268130.0,0.0,268130.0,268130.0,15298997.0,108.55,1.0,0.0,16
29551,NonResidential,1.0,11.0,47.59706,-122.32813,Office,68452.0,-1.0,68453.0,61665.0,3726338.125,25.98,1.0,-0.0,16
29552,NonResidential,1.0,11.0,47.59634,-122.32807,Office,273185.0,0.0,273185.0,281566.0,14339351.5,99.965,1.0,0.0,16
